rangec_cropc,practice,new_name,raw_name
all,all,submission_date,Submission Date
all,all,name,Land steward name
all,all,email,Land steward email
all,all,phone,Land steward phone
all,all,farm_name,Farm or Ranch name
all,all,practice_year,Conservation practice implementation year
all,all,rangec_cropc,Is this a Range-C or Crop-C project?
cropc,all,hist_currentlu_yrs,"To your knowledge, how many years has the property been managed as cropland?"
cropc,all,hist_currentman_yrs,How many years ago did you acquire or begin managing this cropland?
rangec,luc,conv_plan_notes,"Please provide a description of the land use conversion, included historical and planned uses"
cropc,all,hist_flood_yr,"Please enter the year of the last major flood within the study area, if applicable"
rangec,wood,ripar_method,The riparian area will be restored by: (select all that apply)
cropc,all,hist_ls_types,What type(s) of livestock have been present in the study area during the last 5 years?
cropc,all,hist_ls_yn,Have livestock been present in the study area during the last 5 years?
cropc,oa,oa_freq,Application frequency
cropc,all,hist_fire_yr,"Please enter the year of the last major fire within the study area, if applicable"
cropc,all,hist_irr_yn,Has irrigation been applied in the study area in the last 5 years?
cropc,all,hist_pest_yn,Have pesticides been applied in the study area in the last 5 years?
cropc,all,hist_herb_yn,Have herbicides been applied in the study area in the last 5 years?
cropc,all,till_hist_yr0_events,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> This year >> No. of tillage events"
cropc,all,till_hist_yr0_type,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> This year >> Tillage type"
cropc,all,till_hist_yr0_depth,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> This year >> Avg. depth (inches)"
cropc,all,till_hist_yr1_events,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 1 year ago >> No. of tillage events"
cropc,all,till_hist_yr1_type,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 1 year ago >> Tillage type"
cropc,all,till_hist_yr1_depth,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 1 year ago >> Avg. depth (inches)"
cropc,all,till_hist_yr2_events,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 2 years ago >> No. of tillage events"
cropc,all,till_hist_yr2_type,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 2 years ago >> Tillage type"
cropc,all,till_hist_yr2_depth,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 2 years ago >> Avg. depth (inches)"
cropc,all,till_hist_yr3_events,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 3 years ago >> No. of tillage events"
cropc,all,till_hist_yr3_type,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 3 years ago >> Tillage type"
cropc,all,till_hist_yr3_depth,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 3 years ago >> Avg. depth (inches)"
cropc,all,till_hist_yr4_events,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 4 years ago >> No. of tillage events"
cropc,all,till_hist_yr4_type,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 4 years ago >> Tillage type"
cropc,all,till_hist_yr4_depth,"Please fill in the following tillage information for the last 5 years within the study area to the best of your ability. If multiple types of tillage were used in one year, please characterize the most intensive event. ""Full till"", ""Reduced till"" and ""No-till"" are defined below the table. >> 4 years ago >> Avg. depth (inches)"
cropc,all,till_hist_remove,Tillage types
cropc,all,hist_crop_details,Please fill out the following cropping information for the last 5 years within the study area to the best of your ability. Each row represents a crop (or cover crop) in a given year. The more management information you're able to provide will increase interpretability of the monitoring data.
cropc,all,cons_practice,Which conservation practice(s) is/are being implemented in the study area?
rangec,all,hist_currentlu_yrs,"To your knowledge, how many years has the property been managed as rangeland?"
rangec,all,hist_currentman_yrs,How many years ago did grazing begin under current management?
cropc,all,hist_ls_utilization,"On average, what percent of forage is used by grazing animals in the study area? (Under current management, before practice implementation)"
rangec,all,hist_flood_yr,"Please enter the year of the last major flood within the study area, if applicable"
