column_name,label,units,levels_example,description
project_id,Project ID,,EXPR.24.CA,"Unique project ID with first 4 letters of ranch name, year (YY) of practice implementation, and conservation practice abbreviation (see practice_abbreviations.csv)"
sample_id,Sample ID,,EXPR.24.CA.T.01,"Unique sample ID for each sampling location with project_id, treatment (T) or control (C), and sample number"
timepoint,Timepoint,,"T0, T1, …","Timepoint of sampling event, indicating baseline (T0), first sampling after practice implementation (T1), and following events (T2, T3, etc)"
sample_date_ahb,ABH Sampling Date,,MM/DD/YYYY,Date of aboveground herbaceous biomass sampling event
ahb_plot_area,Plot Area for ABH sampling,m2,,Plot area for aboveground herbaceous biomass 
ahb_bio,Aboveground Herbaceous Biomass,kg/ha,,Aboveground herbaceous biomass
sample_date_hrb,HRB Sampling Date,,MM/DD/YYYY,Herbaceous root biomass sampling date
e_depth_hrb,End Depth for Root Biomass Sampling,cm,,End sampling depth for herbaceous root biomass
hrb_fine,Fine Root Herbaceous Biomass,kg/ha,,Fine herbaceous root biomass
hrb_coarse,Coarse Root Herbaceous Biomass,kg/ha,,Coarse herbaceous root biomass
hrb_total,Total Root Herbaceous Biomass,kg/ha,,Herbaceous root biomass total (fine + coarse)
awb_method,Woody Biomass Method,,"Plot-based, LCH, PCQ, Orchard, Hedgerow",Method used for estimating woody biomass
sample_date_awb,AWB Sampling Date,,MM/DD/YYYY,Date of woody biomass sampling event
tree_id,Tree species identified,,,Genus and species of all identified trees surrounding point if using LCH or PCQ abw method
avg_dist,Average tree distance from sampling point,m,,Average tree distance from sampling point if using LCH or PCQ abw method
tree_presence,Percent of sample units with tree presence,%,,Percent of sample units (4 for PCQ or 2 for LCH) with measurable trees 
awb_mean,Aboveground Woody Biomass (mean per tree),kg,,Average aboveground woody biomass for trees surrounding sampling point
bwb_mean,Belowground Woody Biomass (mean per tree),kg,,Average belowground woody biomass for trees surrounding sampling point
