Column Name,Units,Cquester,Cquester Units,Ward,Ward Units,OSU,OSU Units,UCDavis,UCDavis Units
sample_id,NA,Sample.ID,NA,Sample.ID,NA,Customer ID,NA,sample_id,NA
lat,NA,NA,NA,NA,NA,NA,NA,NA,NA
long,NA,NA,NA,NA,NA,NA,NA,NA,NA
b_depth,cm,NA,NA,B.Depth,in,NA,NA,NA,NA
b_depth,cm,NA,NA,Begin.Depth,in,NA,NA,NA,NA
e_depth,cm,NA,NA,End.Depth,in,NA,NA,NA,NA
e_depth,cm,NA,NA,E.Depth,in,NA,NA,NA,NA
lab_name,NA,NA,NA,NA,NA,NA,NA,NA,NA
c_method,NA,NA,NA,NA,NA,NA,NA,NA,NA
total_c,percent,Total.carbon,percent,Total.Carbon..,percent,NA,NA,C (Total),percent
total_c,percent,NA,NA,Total.C\..,percent,NA,NA,NA,NA
total_n,percent,Total.nitrogen,percent,Total.N.,ppm,NA,NA,NA,NA
org_c,percent,Organic.carbon,percent,Organic.Carbon..,percent,NA,NA,TOC,percent
inorg_c,percent,Inorganic.carbon,percent,NA,NA,NA,NA,TIC,percent
pom,percent,Particulate.organic.matter.mass,percent,NA,NA,NA,NA,NA,NA
poc,percent,Particulate.organic.matter.carbon,percent,NA,NA,NA,NA,NA,NA
pon,percent,Particulate.organic.matter.nitrogen,percent,NA,NA,NA,NA,NA,NA
maom,percent,Mineral.associated.organic.matter.mass,percent,NA,NA,NA,NA,NA,NA
maoc,percent,Mineral.associated.organic.matter.carbon,percent,NA,NA,NA,NA,NA,NA
maon,percent,mineral.associated.organic.matter.nitrogen,percent,NA,NA,NA,NA,NA,NA
co2_resp_ppm,ppm,NA,NA,CO2.Soil.Respiration,ppm,NA,NA,NA,NA
microbial_c,ug biomass/g dry soil,NA,NA,NA,NA,Calculated Microbial Biomass,ug biomass/g dry soil,NA,NA
texture_name,NA,NA,NA,Texture,NA,NA,NA,NA,NA
texture_name,NA,NA,NA,Texture.By.Feel,NA,NA,NA,NA,NA
sand,percent,Sand.content,percent,Sand,percent,NA,NA,Sand,percent
silt,percent,Silt.content,percent,Silt,percent,NA,NA,Silt,percent
clay,percent,Clay.content,percent,Clay,percent,NA,NA,Clay,percent
ph,ph,pH,NA,Soil.pH,ph,NA,NA,pH,NA
buffer_ph,ph,NA,NA,WDRF,ph,NA,NA,NA,NA
coarse_g,g,Biomass.removed,g,Roots.grams,g,NA,NA,NA,NA
rocks_g,g,Rocks.removed,g,Rocks.grams,g,NA,NA,NA,NA
dry_soil_g,g,Dry.soil.mass,g,Total.Dry.Weight,g,NA,NA,NA,NA
bulk_density,g/cm3,Bulk.density..corrected.for.coarse.material..,g/cm3,Bulk.Density,g/cm3,NA,NA,Bulk Density,g/cm3
bulk_density,g/cm3,NA,NA,Sample.Density,g/cm3,NA,NA,NA,NA
no3_ppm,ppm,NA,NA,Nitrate,ppm,NA,NA,NA,NA
p_ppm,ppm,NA,NA,P.ppm,ppm,NA,NA,NA,NA
k_ppm,ppm,NA,NA,ppm.K,ppm,NA,NA,NA,NA
s_ppm,ppm,NA,NA,Sulfate.S.ppm.S,ppm,NA,NA,NA,NA
ca_ppm,ppm,NA,NA,ppm.Ca,ppm,NA,NA,NA,NA
mg_ppm,ppm,NA,NA,ppm.Mg,ppm,NA,NA,NA,NA
na_ppm,ppm,NA,NA,ppm.Na,ppm,NA,NA,NA,NA
zn_ppm,ppm,NA,NA,ppm.Zn,ppm,NA,NA,NA,NA
zn_ppm,ppm,NA,NA,Zn.ppm,ppm,NA,NA,NA,NA
fe_ppm,ppm,NA,NA,ppm.Fe,ppm,NA,NA,NA,NA
fe_ppm,ppm,NA,NA,Fe.ppm,ppm,NA,NA,NA,NA
mn_ppm,ppm,NA,NA,ppm.Mn,ppm,NA,NA,NA,NA
mn_ppm,ppm,NA,NA,"Mn,ppm",ppm,NA,NA,NA,NA
cu_ppm,ppm,NA,NA,ppm.Cu,ppm,NA,NA,NA,NA
cu_ppm,ppm,NA,NA,Cu.ppm,ppm,NA,NA,NA,NA
soil_moisture,percent,NA,NA,Soil.Moisture..,percent,NA,NA,NA,NA
sol_salts,mmho/cm,NA,NA,Salts,mmho/cm,NA,NA,NA,NA
cec,meq/100g,NA,NA,Sum.of.Cations.me.100g,meq/100g,NA,NA,NA,NA
cec_h_perc,percent,NA,NA,H.Sat,percent,NA,NA,NA,NA
cec_k_perc,percent,NA,NA,K.Sat,percent,NA,NA,NA,NA
cec_ca_perc,percent,NA,NA,Ca.Sat,percent,NA,NA,NA,NA
cec_mg_perc,percent,NA,NA,Mg.Sat,percent,NA,NA,NA,NA
cec_na_perc,percent,NA,NA,Na.Sat,percent,NA,NA,NA,NA
