Column Name,Units
project_id,NA
protocol,NA
sample_id,NA
timepoint,NA
sample_date,NA
lat,NA
long,NA
target_depth,cm
b_depth,cm
e_depth,cm
position,NA
lab_name,NA
c_method,NA
total_c,percent
total_n,percent
org_c,percent
inorg_c,percent
pom,percent
poc,percent
pon,percent
maom,percent
maoc,percent
maon,percent
texture_name,NA
sand,percent
silt,percent
clay,percent
ph,ph
buffer_ph,ph
bulk_density,g/cm3
rocks_g,g
k_ppm,ppm
ca_ppm,ppm
mg_ppm,ppm
na_ppm,ppm
soil_moisture,percent
sol_salts,mmho/cm
cec,meq/100g
cec_h_perc,percent
cec_k_perc,percent
cec_ca_perc,percent
cec_mg_perc,percent
cec_na_perc,percent
