Practice,Abbreviation,Interval_Range,Interval_Crop,Range_Ranking,Prac_Ranking,Crop_Range
Soil carbon amendments,SC,1,2,1,1,"Crop, Range"
Windbreak/shelterbelt establishment,WS,NA,3,NA,4,Crop
Hedgerow planting,HR,NA,3,NA,5,Crop
Living groundcover,LG,NA,5,NA,6,Crop
Mulching,MU,NA,5,NA,7,Crop
Livestock integration,LI,NA,5,NA,8,Crop
Reduced till / no till,RT,NA,7,NA,10,Crop
Cover crops,CC,NA,7,NA,11,Crop
Tree/shrub/vine establishment,TE,NA,8,NA,12,Crop
Crop rotations,CR,NA,8,NA,14,Crop
Windbreaks/hedgerows,WH,3,NA,2,2,Range
Conversion to rangeland,CR,3,NA,3,3,Range
Riparian restoration,RR,5,NA,4,9,Range
Range planting,RP,5,NA,5,13,Range
Upland tree planting,UP,10,NA,7,16,Range
Prescribed grazing,PG,10,NA,6,15,Range
Floodplain restoration,FR,,,,,"Crop, Range"
No practice,NP,,,,,"Crop, Range"
